apartment_id,building,apartment,floor,type,profile_key,segment,rooms,area_m2,balcony_m2,directions,park_view,market_balcony_coef,effective_market_area_m2,current_segment_rate_ils,current_unadjusted_value_ils,quality_adjustment_pct,current_market_value_ils,sale_value_low_ils,sale_value_base_ils,sale_value_high_ils,net_contract_price_ils,estimated_index_addition_ils,estimated_total_cost_ils,profit_low_ils,profit_base_ils,profit_high_ils,roi_base_pct,analysis_confidence,rank_low,rank_base,rank_high,best_rank,worst_rank,rank_spread,priority_group
3-17,3,17,3,3D,3D,4 חדרים,4,109.52,12.91,מערב - דרום,none,0.55,116.62,27500,3207064,0.19,3213157,2895160,3398397,3969166,1710000,37878,1747878,1147282,1650520,2221288,94.4,בינונית-גבוהה,14,17,18,14,18,4,B
1-16,1,16,3,1E,1E,4 חדרים,4,109.6,13.01,מערב - דרום,none,0.5,116.1,27500,3192887,0.31,3202785,2885867,3387428,3956284,1711950,37921,1749871,1135996,1637557,2206413,93.6,בינונית-גבוהה,16,18,20,16,20,4,B
3-15,3,15,3,3B,3B,4 חדרים,4,107.43,14.0,מזרח - צפון,full,0.36,112.47,27500,3092925,2.36,3165918,2825223,3348435,3947232,1678749,37185,1715934,1109288,1632501,2231297,95.1,בינונית,21,19,17,17,21,4,B
3-12,3,12,2,3D,3D,4 חדרים,4,109.52,12.91,מערב - דרום,none,0.55,116.62,27500,3207064,-0.57,3188783,2872864,3372619,3939501,1710000,37878,1747878,1124987,1624741,2191624,93.0,בינונית-גבוהה,19,20,22,19,22,3,B
3-6,3,6,1,3C,3C,4 חדרים,4,109.01,14.0,מזרח - דרום,full,0.36,114.05,27500,3136375,1.39,3179971,2837084,3363298,3965657,1706756,37806,1744562,1092522,1618736,2221095,92.8,בינונית,23,21,19,19,23,4,B
1-11,1,11,2,1E,1E,4 חדרים,4,109.6,13.01,מערב - דרום,none,0.5,116.1,27500,3192887,-0.44,3178839,2863962,3362101,3927139,1711950,37921,1749871,1114091,1612230,2177268,92.1,בינונית-גבוהה,20,22,23,20,23,3,B
3-10,3,10,2,3B,3B,4 חדרים,4,107.43,14.0,מזרח - צפון,full,0.36,112.47,27500,3092925,1.39,3135917,2797780,3316704,3910718,1678749,37185,1715934,1081845,1600770,2194784,93.3,בינונית,26,23,21,21,26,5,B
3-7,3,7,1,3D,3D,4 חדרים,4,109.52,12.91,מערב - דרום,none,0.55,116.62,27500,3207064,-1.43,3161203,2847635,3343448,3905934,1710000,37878,1747878,1099758,1595570,2158056,91.3,בינונית-גבוהה,22,24,24,22,24,2,B
1-6,1,6,1,1E,1E,4 חדרים,4,109.6,13.01,מערב - דרום,none,0.5,116.1,27500,3192887,-1.31,3151061,2838553,3332721,3893331,1711950,37921,1749871,1088682,1582850,2143461,90.5,בינונית-גבוהה,24,25,26,24,26,2,B
2-25,2,25,6,2A,2A,4 חדרים,4,107.41,11.89,מערב - צפון,none,0.32,111.21,27500,3058407,1.2,3095108,2789216,3273543,3822778,1667174,36929,1704103,1085113,1569440,2118675,92.1,בינונית-גבוהה,25,26,29,25,29,4,C
3-5,3,5,1,3B,3B,4 חדרים,4,107.43,14.0,מזרח - צפון,full,0.36,112.47,27500,3092925,0.16,3097874,2762981,3276468,3864417,1678749,37185,1715934,1047046,1560533,2148483,90.9,בינונית,30,27,25,25,30,5,C
2-21,2,21,5,2A,2A,4 חדרים,4,107.41,11.89,מערב - צפון,none,0.32,111.21,27500,3058407,0.76,3081651,2776907,3259310,3806400,1667174,36929,1704103,1072804,1555207,2102297,91.3,בינונית-גבוהה,27,28,31,27,31,4,C
1-33,1,33,7,1B,1B,4 חדרים,4,107.95,11.88,מזרח - צפון,partial,0.32,111.75,27500,3073169,0.38,3084847,2751517,3262690,3847962,1676693,37140,1713833,1037684,1548857,2134129,90.4,בינונית,33,29,27,27,33,6,C
2-16,2,16,4,2A,2A,4 חדרים,4,107.49,11.89,מערב - צפון,none,0.32,111.29,27500,3060607,0.26,3068565,2764906,3245469,3790514,1668592,36960,1705552,1059354,1539917,2084961,90.3,בינונית-גבוהה,28,30,33,28,33,5,C
1-28,1,28,6,1B,1B,4 חדרים,4,107.95,11.88,מזרח - צפון,partial,0.32,111.75,27500,3073169,0.09,3075935,2743365,3253264,3837115,1676693,37140,1713833,1029532,1539431,2123282,89.8,בינונית,35,31,28,28,35,7,C
1-23,1,23,5,1B,1B,4 חדרים,4,107.95,11.88,מזרח - צפון,partial,0.32,111.75,27500,3073169,-0.31,3063642,2732120,3240263,3822154,1676693,37140,1713833,1018287,1526430,2108321,89.1,בינונית,41,32,30,30,41,11,C
2-11,2,11,3,2A,2A,4 חדרים,4,107.49,11.89,מערב - צפון,none,0.32,111.29,27500,3060607,-0.35,3049895,2747829,3225723,3767791,1668592,36960,1705552,1042276,1520171,2062239,89.1,בינונית-גבוהה,31,33,35,31,35,4,C
1-18,1,18,4,1B,1B,4 חדרים,4,107.95,11.88,מזרח - צפון,partial,0.32,111.75,27500,3073169,-0.78,3049198,2718908,3224986,3804575,1676693,37140,1713833,1005075,1511153,2090742,88.2,בינונית,48,34,32,32,48,16,C
2-26,2,26,6,2B,2B,3 חדרים גדולה,3,87.66,21.75,מזרח - צפון,full,0.3,94.19,28000,2637180,4.12,2745832,2451380,2904131,3422093,1369520,30336,1399856,1051525,1504275,2022237,107.5,בינונית,29,35,38,29,38,9,C
2-6,2,6,2,2A,2A,4 חדרים,4,107.49,11.89,מערב - צפון,none,0.32,111.29,27500,3060607,-1.04,3028777,2728511,3203387,3742089,1668592,36960,1705552,1022959,1497835,2036537,87.8,בינונית-גבוהה,39,36,37,36,39,3,C
1-13,1,13,3,1B,1B,4 חדרים,4,107.95,11.88,מזרח - צפון,partial,0.32,111.75,27500,3073169,-1.32,3032603,2703728,3207434,3784378,1676693,37140,1713833,989895,1493602,2070545,87.1,בינונית,55,37,34,34,55,21,C
2-22,2,22,5,2B,2B,3 חדרים גדולה,3,87.66,21.75,מזרח - צפון,full,0.3,94.19,28000,2637180,3.73,2735547,2441973,2893253,3409576,1369520,30336,1399856,1042117,1493397,2009720,106.7,בינונית,32,38,40,32,40,8,C
2-17,2,17,4,2B,2B,3 חדרים גדולה,3,87.66,21.75,מזרח - צפון,full,0.3,94.19,28000,2637180,3.15,2720251,2427981,2877075,3390960,1369520,30336,1399856,1028125,1477219,1991104,105.5,בינונית,37,39,42,37,42,5,C
